word,mean
said,1601024
coronavirus,1209661
’s,990280
people,820798
new,628223
health,580291
would,479102
virus,468813
china,430697
cases,420500
time,370411
government,342021
year,336512
outbreak,329850
home,323675
march,321558
us,321470
could,318246
like,310972
first,307851
two,305380
last,304254
-,291963
get,281790
million,275640
world,270601
’t,270347
2020,270201
spread,267431
pandemic,253357
state,252951
week,250989
many,248969
may,248398
country,244755
public,241496
company,235391
—,230770
going,230189
news,223286
work,222453
need,220557
number,216585
1,214922
including,214464
day,212506
business,211032
even,210969
help,208874
market,208747
told,206408
--,206103
president,205605
around,200798
days,200487
back,195865
still,194251
well,190419
city,188738
think,188006
due,187830
according,186311
confirmed,185435
trump,184783
medical,184373
positive,184151
make,182957
since,182406
go,178193
disease,177775
see,176312
reported,175509
global,173116
travel,170995
know,163415
three,162971
social,161871
workers,161187
patients,160137
officials,160096
hospital,159578
next,159018
tested,158130
much,158053
monday,157672
across,155044
announced,154320
2,152561
measures,150987
says,150119
–,148802
friday,148312
weeks,148193
tuesday,148166
states,147178
already,146451
crisis,145897
minister,144107
countries,141738
working,140759
thursday,137908
made,137725
good,136438
years,135615
wednesday,135522
2019,135086
chinese,134871
right,134733
3,134394
10,134366
quarter,134127
staff,134036
stay,133591
support,133395
way,131927
national,131810
’re,130779
billion,130776
continue,130319
growth,129576
chief,127290
added,126973
financial,126324
case,125895
impact,125538
symptoms,125153
say,124027
another,122381
york,122079
companies,121845
today,120428
infected,118412
services,117975
risk,117769
call,117741
wuhan,117519
keep,117488
reuters,116803
far,116372
close,116287
least,115604
april,115563
however,115492
emergency,114180
united,114052
really,113951
statement,113914
group,113755
lockdown,113597
family,113533
stock,113184
south,112110
total,112102
quarantine,111962
use,111699
local,111359
situation,109701
place,108544
part,108246
economic,108178
every,107918
times,107821
testing,106813
months,106612
house,106089
month,105993
information,104419
international,104208
food,103819
masks,103268
markets,103186
demand,103135
put,103097
sunday,103004
closed,102855
italy,101663
media,100569
deaths,100307
contact,100125
employees,100045
online,99575
team,98940
data,98761
sales,98708
economy,98602
seen,97654
taking,97364
able,97138
businesses,97001
response,96770
department,96198
order,96008
likely,95842
set,95778
best,95436
long,95415
high,94952
5,94078
earlier,93938
among,93845
things,93695
mr,93361
might,93162
look,92934
lot,91678
industry,91653
customers,91650
test,91427
authorities,91227
four,91221
india,91083
open,90884
4,90404
possible,89953
community,89840
asked,89605
20,89422
coming,89319
without,89311
others,89207
members,87979
oil,87923
video,87917
service,87710
february,87641
taken,87396
expected,87373
’,87238
bank,87231
show,87199
several,86166
novel,85623
control,85098
death,84973
dr,84713
top,84571
second,84443
major,84115
provide,83838
early,83827
hit,83772
capital,83679
production,83596
following,83561
amid,83526
school,83261
percent,82682
rate,82377
available,82292
current,82094
share,82018
saturday,81759
daily,81707
given,81647
cash,81616
revenue,80897
past,80891
person,80872
whether,80726
got,80298
important,80258
report,80253
point,80018
police,79895
morning,79647
increase,79647
hospitals,79460
start,79051
hours,78976
supply,78554
price,78221
30,78135
conference,78028
little,78005
recent,77983
called,77830
making,77694
everyone,77630
big,77148
federal,76967
outside,76855
prices,76821
stocks,76742
yet,76256
period,76164
12,75978
comes,75340
currently,75149
used,75090
results,74935
died,74800
passengers,74572
uk,74535
remain,74492
full,74018
large,73883
14,73879
latest,73814
university,73569
investors,73538
season,73430
system,73232
flights,73223
officer,73206
cent,73191
decision,73182
better,72998
free,72990
getting,72696
life,72488
read,72474
plans,72439
live,72263
later,72211
photo,72180
five,71882
less,71571
question,71504
students,71361
came,71228
official,71083
executive,71053
money,70800
infection,70758
pay,70577
line,70223
within,69969
move,69742
together,69631
prime,69546
schools,69522
different,69370
plan,69254
though,69233
press,68349
away,68268
6,68262
looking,68252
events,68125
must,67995
small,67780
ministry,67319
great,67255
children,67076
nearly,66999
15,66705
products,66529
’ve,66513
sure,66437
general,66407
11,66405
office,66374
reporting,66280
air,66085
six,66013
saying,65866
change,65769
cut,65285
american,65243
japan,65224
central,64781
director,64754
hand,64740
fund,64629
additional,64541
ago,64526
give,64334
restrictions,64070
meeting,63844
january,63793
let,63611
higher,63574
ahead,63521
points,63346
ship,63346
something,63335
league,63183
return,63150
leave,62700
potential,62488
despite,62401
ensure,62210
expect,62206
strong,62136
7,62127
night,62113
future,62108
become,61764
korea,61760
patient,61639
wrote,61623
level,61244
twitter,61142
event,61053
using,60997
find,60952
safety,60936
recently,60804
essential,60694
europe,60656
concerns,60393
affected,60244
center,60192
epidemic,60135
trying,60057
washington,59953
deal,59930
enough,59704
australia,59577
stop,59461
lower,59304
feel,59218
include,59205
started,58896
tests,58845
found,58759
